id,code,name,hex
3328,3328,Salmon Dark,#e36d6d
3340,3340,Apricot Med,#ff836f
3341,3341,Apricot,#fcab98
3345,3345,Hunter Green Dk,#1b5915
3346,3346,Hunter Green,#406a3a
3347,3347,Yellow Green Med,#71935c
3348,3348,Yellow Green Lt,#ccd9b1
3350,3350,Dusty Rose Ultra Dark,#bc4365
3354,3354,Dusty Rose Light,#e4a6ac
3362,3362,Pine Green Dk,#5e6b47
3363,3363,Pine Green Md,#728256
3364,3364,Pine Green,#83975f
3371,3371,Black Brown,#1e1108
3607,3607,Plum Light,#c54989
3608,3608,Plum Very Light,#ea9cc4
3609,3609,Plum Ultra Light,#f4aed5
3685,3685,Mauve Very Dark,#881531
3687,3687,Mauve,#c96b70
3688,3688,Mauve Medium,#e7a9ac
3689,3689,Mauve Light,#fbbfc2
3705,3705,Melon Dark,#ff7992
3706,3706,Melon Medium,#ffadbc
3708,3708,Melon Light,#ffcbd5
3712,3712,Salmon Medium,#f18787
3713,3713,Salmon Very Light,#ffe2e2
3716,3716,Dusty Rose Med Vy Lt,#ffbdbd
3721,3721,Shell Pink Dark,#a14b51
3722,3722,Shell Pink Med,#bc6c64
3726,3726,Antique Mauve Dark,#9b5b66
3727,3727,Antique Mauve Light,#dba9b2
3731,3731,Dusty Rose Very Dark,#da6783
3733,3733,Dusty Rose,#e8879b
3740,3740,Antique Violet Dark,#785762
3743,3743,Antique Violet Vy Lt,#d7cbd3
3746,3746,Blue Violet Dark,#776b98
3747,3747,Blue Violet Vy Lt,#d3d7ed
3750,3750,Antique Blue Very Dk,#384c5e
3752,3752,Antique Blue Very Lt,#c7d1db
3753,3753,Antique Blue Ult Vy Lt,#dbe2e9
3755,3755,Baby Blue,#93b4ce
3756,3756,Baby Blue Ult Vy Lt,#eefcfc
3760,3760,Wedgewood Med,#3e85a2
3761,3761,Sky Blue Light,#acd8e2
3765,3765,Peacock Blue Vy Dk,#347f8c
3766,3766,Peacock Blue Light,#99cfd9
3768,3768,Gray Green Dark,#657f7f
3770,3770,Tawny Vy Light,#ffeee3
3771,3771,Terra Cotta Ult Vy Lt,#f4bba9
3772,3772,Desert Sand Vy Dk,#a06c50
3773,3773,Desert Sand Dark,#b67552
